entity_id,entity_name,site_id,site_name,latitude,longitude,distance_NGRIP,number,mean_off18O,std_off18O,mean_off18O_20,std_off18O_20,number20,mean_off18O_40,std_off18O_40,number40,mean_off18O_60,std_off18O_60,number60,mean_off18O_80,std_off18O_80,number80,mean_off13C,std_off13C,mean_var18_stad,mean_var18_interstad,abruptness50,abruptness100,continent,new_region
1,BT-1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,22531,0.6670000000000003,0.6670000000000003,1.2434999999999998,0.6333792307930534,3,1.5537842016806722,1.095733364922432,5,0.0,0.0,0,0.0,0.0,0,0.2096551120448174,0.3544094234310756,1.0,1.0,0.0,0.0,5.0,5.0
1,BT-1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,27256,1.9215,1.9215,1.2434999999999998,0.6333792307930534,3,1.5537842016806722,1.095733364922432,5,0.0,0.0,0,0.0,0.0,0,0.2096551120448174,0.3544094234310756,1.0,1.0,0.0,0.0,5.0,5.0
1,BT-1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,28865,1.1419999999999997,1.1419999999999997,1.2434999999999998,0.6333792307930534,3,1.5537842016806722,1.095733364922432,5,0.0,0.0,0,0.0,0.0,0,0.2096551120448174,0.3544094234310756,1.0,1.0,0.0,0.0,5.0,5.0
1,BT-1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,44157,0.2745000000000006,0.2745000000000006,1.2434999999999998,0.6333792307930534,3,1.5537842016806722,1.095733364922432,5,0.0,0.0,0,0.0,0.0,0,0.2096551120448174,0.3544094234310756,1.0,1.0,0.0,0.0,5.0,5.0
1,BT-1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,46325,0.8866352941176485,0.8866352941176485,1.2434999999999998,0.6333792307930534,3,1.5537842016806722,1.095733364922432,5,0.0,0.0,0,0.0,0.0,0,0.2096551120448174,0.3544094234310756,1.0,1.0,0.0,0.0,5.0,5.0
1,BT-1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,50387,1.7369999999999992,1.7369999999999992,1.2434999999999998,0.6333792307930534,3,1.5537842016806722,1.095733364922432,5,0.0,0.0,0,0.0,0.0,0,0.2096551120448174,0.3544094234310756,1.0,1.0,0.0,0.0,5.0,5.0
1,BT-1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,53914,3.188,3.188,1.2434999999999998,0.6333792307930534,3,1.5537842016806722,1.095733364922432,5,0.0,0.0,0,0.0,0.0,0,0.2096551120448174,0.3544094234310756,1.0,1.0,0.0,0.0,5.0,5.0
1,BT-1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,55612,1.6827857142857132,1.6827857142857132,1.2434999999999998,0.6333792307930534,3,1.5537842016806722,1.095733364922432,5,0.0,0.0,0,0.0,0.0,0,0.2096551120448174,0.3544094234310756,1.0,1.0,0.0,0.0,5.0,5.0
2,BT-2.1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,28126,1.8290209790209788,1.8290209790209788,2.019998334998335,0.188321330091513,3,1.246520432692308,1.204231744551269,2,0.0,0.0,0,0.0,0.0,0,0.5813093854674729,0.40899667910566,1.0,1.0,0.0,0.0,5.0,5.0
2,BT-2.1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,29273,2.205546218487396,2.205546218487396,2.019998334998335,0.188321330091513,3,1.246520432692308,1.204231744551269,2,0.0,0.0,0,0.0,0.0,0,0.5813093854674729,0.40899667910566,1.0,1.0,0.0,0.0,5.0,5.0
2,BT-2.1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,38186,2.02542780748663,2.02542780748663,2.019998334998335,0.188321330091513,3,1.246520432692308,1.204231744551269,2,0.0,0.0,0,0.0,0.0,0,0.5813093854674729,0.40899667910566,1.0,1.0,0.0,0.0,5.0,5.0
2,BT-2.1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,42046,0.3949999999999996,0.3949999999999996,2.019998334998335,0.188321330091513,3,1.246520432692308,1.204231744551269,2,0.0,0.0,0,0.0,0.0,0,0.5813093854674729,0.40899667910566,1.0,1.0,0.0,0.0,5.0,5.0
2,BT-2.1,1,Bittoo cave,30.7903,77.7764,7497.133294420339,43524,2.0980408653846165,2.0980408653846165,2.019998334998335,0.188321330091513,3,1.246520432692308,1.204231744551269,2,0.0,0.0,0,0.0,0.0,0,0.5813093854674729,0.40899667910566,1.0,1.0,0.0,0.0,5.0,5.0
3,BT-2.2,1,Bittoo cave,30.7903,77.7764,7497.133294420339,47223,2.48282258064516,2.48282258064516,0.0,0.0,0,1.822008960573477,1.059295043649043,5,0.0,0.0,0,0.0,0.0,0,0.5849315860215054,0.4029992796565603,1.0,1.0,0.0,0.0,5.0,5.0
3,BT-2.2,1,Bittoo cave,30.7903,77.7764,7497.133294420339,50147,0.6450000000000005,0.6450000000000005,0.0,0.0,0,1.822008960573477,1.059295043649043,5,0.0,0.0,0,0.0,0.0,0,0.5849315860215054,0.4029992796565603,1.0,1.0,0.0,0.0,5.0,5.0
3,BT-2.2,1,Bittoo cave,30.7903,77.7764,7497.133294420339,54102,3.290000000000001,3.290000000000001,0.0,0.0,0,1.822008960573477,1.059295043649043,5,0.0,0.0,0,0.0,0.0,0,0.5849315860215054,0.4029992796565603,1.0,1.0,0.0,0.0,5.0,5.0
3,BT-2.2,1,Bittoo cave,30.7903,77.7764,7497.133294420339,55848,1.5170555555555545,1.5170555555555545,0.0,0.0,0,1.822008960573477,1.059295043649043,5,0.0,0.0,0,0.0,0.0,0,0.5849315860215054,0.4029992796565603,1.0,1.0,0.0,0.0,5.0,5.0
