site_id,site_name,latitude,longitude,median_off18O,continent,std_median_off18O,new_region,num_transitions
230,Marota cave,-12.6227,-41.0216,-1.5827933401398502,3.0,0.2360669787243305,4.0,6.0
231,Pacupahuain cave,-11.24,-75.82,-0.9358333333333348,3.0,0.2615589211015343,4.0,12.0
234,Santana cave,-24.5308,-48.7267,-0.6384258459049996,3.0,0.11822087495419838,4.0,18.0
241,Gempa bumi cave,-5.0,120.0,0.2399999999999993,6.0,0.049359638802024326,5.0,15.0
242,Haozhu cave,30.6833,109.9833,0.7549999999999999,5.0,0.21701768071691627,5.0,2.0
260,Crovassa Azzurra,39.28,8.48,0.3691687683599998,1.0,0.03920857888146087,1.0,3.0
263,Bulgarian Orlova Chuka cave,43.5937,25.9597,-1.2131428571428575,1.0,1.2131428571428575,1.0,1.0
265,Coves de Campanet,39.7937,2.9683,0.5984197680549999,1.0,0.30907600466372176,1.0,7.0
274,Terciopelo cave,10.17,-85.33,0.8033333333333346,2.0,0.07540254771033984,3.0,19.0
275,Buraca Gloriosa,39.5333,-8.7833,0.7479999999999998,1.0,0.18044584028533725,1.0,15.0
289,Gassel Tropfsteinhöhle,47.8228,13.8428,-1.5786116817075566,1.0,1.5786116817075566,1.0,1.0
290,Grete-Ruth Shaft,47.5429,12.0272,-1.9727610968167733,1.0,0.0291552983756967,1.0,2.0
